tag,example_inputs_en,example_inputs_es,possible_responses_en,possible_responses_es
accounting,How do I contact Accounting? | What does the Accounting do? | Accounting hours,¿Cómo me comunico con Accounting? | ¿Qué hace el Accounting? | ¿Cuál es el horario de atención del Accounting?,You can contact Accounting at... | The Accounting is responsible for... | Here are the office hours for Accounting...,Puede comunicarse con Accounting en... | El Accounting es responsable de... | El horario de atención del Accounting es...
ut/tsu_extension_-_hamilton_county,How do I contact UT/TSU Extension - Hamilton County? | What does the UT/TSU Extension - Hamilton County do? | UT/TSU Extension - Hamilton County hours,¿Cómo me comunico con Ut/Tsu Extension - Hamilton County? | ¿Qué hace el Ut/Tsu Extension - Hamilton County? | ¿Cuál es el horario de atención del Ut/Tsu Extension - Hamilton County?,You can contact UT/TSU Extension - Hamilton County at... | The UT/TSU Extension - Hamilton County is responsible for... | Here are the office hours for UT/TSU Extension - Hamilton County...,Puede comunicarse con Ut/Tsu Extension - Hamilton County en... | El Ut/Tsu Extension - Hamilton County es responsable de... | El horario de atención del Ut/Tsu Extension - Hamilton County es...
alternative_sentencing,How do I contact Alternative Sentencing? | What does the Alternative Sentencing do? | Alternative Sentencing hours,¿Cómo me comunico con Alternative Sentencing? | ¿Qué hace el Alternative Sentencing? | ¿Cuál es el horario de atención del Alternative Sentencing?,You can contact Alternative Sentencing at... | The Alternative Sentencing is responsible for... | Here are the office hours for Alternative Sentencing...,Puede comunicarse con Alternative Sentencing en... | El Alternative Sentencing es responsable de... | El horario de atención del Alternative Sentencing es...
assessor_of_property,How do I contact Assessor of Property? | What does the Assessor of Property do? | Assessor of Property hours,¿Cómo me comunico con Assessor Of Property? | ¿Qué hace el Assessor Of Property? | ¿Cuál es el horario de atención del Assessor Of Property?,You can contact Assessor of Property at... | The Assessor of Property is responsible for... | Here are the office hours for Assessor of Property...,Puede comunicarse con Assessor Of Property en... | El Assessor Of Property es responsable de... | El horario de atención del Assessor Of Property es...
building_inspection_department,How do I contact Building Inspection Department? | What does the Building Inspection Department do? | Building Inspection Department hours,¿Cómo me comunico con Building Inspection Department? | ¿Qué hace el Building Inspection Department? | ¿Cuál es el horario de atención del Building Inspection Department?,You can contact Building Inspection Department at... | The Building Inspection Department is responsible for... | Here are the office hours for Building Inspection Department...,Puede comunicarse con Building Inspection Department en... | El Building Inspection Department es responsable de... | El horario de atención del Building Inspection Department es...
chester_frost_park,How do I contact Chester Frost Park? | What does the Chester Frost Park do? | Chester Frost Park hours,¿Cómo me comunico con Chester Frost Park? | ¿Qué hace el Chester Frost Park? | ¿Cuál es el horario de atención del Chester Frost Park?,You can contact Chester Frost Park at... | The Chester Frost Park is responsible for... | Here are the office hours for Chester Frost Park...,Puede comunicarse con Chester Frost Park en... | El Chester Frost Park es responsable de... | El horario de atención del Chester Frost Park es...
chancery_court,How do I contact Chancery Court? | What does the Chancery Court do? | Chancery Court hours,¿Cómo me comunico con Chancery Court? | ¿Qué hace el Chancery Court? | ¿Cuál es el horario de atención del Chancery Court?,You can contact Chancery Court at... | The Chancery Court is responsible for... | Here are the office hours for Chancery Court...,Puede comunicarse con Chancery Court en... | El Chancery Court es responsable de... | El horario de atención del Chancery Court es...
chcrpa,How do I contact CHCRPA? | What does the CHCRPA do? | CHCRPA hours,¿Cómo me comunico con Chcrpa? | ¿Qué hace el Chcrpa? | ¿Cuál es el horario de atención del Chcrpa?,You can contact CHCRPA at... | The CHCRPA is responsible for... | Here are the office hours for CHCRPA...,Puede comunicarse con Chcrpa en... | El Chcrpa es responsable de... | El horario de atención del Chcrpa es...
chief_of_staff,How do I contact Chief of Staff? | What does the Chief of Staff do? | Chief of Staff hours,¿Cómo me comunico con Chief Of Staff? | ¿Qué hace el Chief Of Staff? | ¿Cuál es el horario de atención del Chief Of Staff?,You can contact Chief of Staff at... | The Chief of Staff is responsible for... | Here are the office hours for Chief of Staff...,Puede comunicarse con Chief Of Staff en... | El Chief Of Staff es responsable de... | El horario de atención del Chief Of Staff es...
circuit_court_clerk,How do I contact Circuit Court Clerk? | What does the Circuit Court Clerk do? | Circuit Court Clerk hours,¿Cómo me comunico con Circuit Court Clerk? | ¿Qué hace el Circuit Court Clerk? | ¿Cuál es el horario de atención del Circuit Court Clerk?,You can contact Circuit Court Clerk at... | The Circuit Court Clerk is responsible for... | Here are the office hours for Circuit Court Clerk...,Puede comunicarse con Circuit Court Clerk en... | El Circuit Court Clerk es responsable de... | El horario de atención del Circuit Court Clerk es...
circuit_court_judges,How do I contact Circuit Court Judges? | What does the Circuit Court Judges do? | Circuit Court Judges hours,¿Cómo me comunico con Circuit Court Judges? | ¿Qué hace el Circuit Court Judges? | ¿Cuál es el horario de atención del Circuit Court Judges?,You can contact Circuit Court Judges at... | The Circuit Court Judges is responsible for... | Here are the office hours for Circuit Court Judges...,Puede comunicarse con Circuit Court Judges en... | El Circuit Court Judges es responsable de... | El horario de atención del Circuit Court Judges es...
