intent,language,example
accounting,en,How do I contact Accounting?
accounting,en,What does the Accounting do?
accounting,en,Accounting hours
accounting,es,¿Cómo me comunico con Accounting?
accounting,es,¿Qué hace el Accounting?
accounting,es,¿Cuál es el horario de atención del Accounting?
ut/tsu_extension_-_hamilton_county,en,How do I contact UT/TSU Extension - Hamilton County?
ut/tsu_extension_-_hamilton_county,en,What does the UT/TSU Extension - Hamilton County do?
ut/tsu_extension_-_hamilton_county,en,UT/TSU Extension - Hamilton County hours
ut/tsu_extension_-_hamilton_county,es,¿Cómo me comunico con Ut/Tsu Extension - Hamilton County?
ut/tsu_extension_-_hamilton_county,es,¿Qué hace el Ut/Tsu Extension - Hamilton County?
ut/tsu_extension_-_hamilton_county,es,¿Cuál es el horario de atención del Ut/Tsu Extension - Hamilton County?
alternative_sentencing,en,How do I contact Alternative Sentencing?
alternative_sentencing,en,What does the Alternative Sentencing do?
alternative_sentencing,en,Alternative Sentencing hours
alternative_sentencing,es,¿Cómo me comunico con Alternative Sentencing?
alternative_sentencing,es,¿Qué hace el Alternative Sentencing?
alternative_sentencing,es,¿Cuál es el horario de atención del Alternative Sentencing?
assessor_of_property,en,How do I contact Assessor of Property?
assessor_of_property,en,What does the Assessor of Property do?
assessor_of_property,en,Assessor of Property hours
assessor_of_property,es,¿Cómo me comunico con Assessor Of Property?
assessor_of_property,es,¿Qué hace el Assessor Of Property?
assessor_of_property,es,¿Cuál es el horario de atención del Assessor Of Property?
building_inspection_department,en,How do I contact Building Inspection Department?
building_inspection_department,en,What does the Building Inspection Department do?
building_inspection_department,en,Building Inspection Department hours
building_inspection_department,es,¿Cómo me comunico con Building Inspection Department?
building_inspection_department,es,¿Qué hace el Building Inspection Department?
building_inspection_department,es,¿Cuál es el horario de atención del Building Inspection Department?
chester_frost_park,en,How do I contact Chester Frost Park?
chester_frost_park,en,What does the Chester Frost Park do?
chester_frost_park,en,Chester Frost Park hours
chester_frost_park,es,¿Cómo me comunico con Chester Frost Park?
chester_frost_park,es,¿Qué hace el Chester Frost Park?
chester_frost_park,es,¿Cuál es el horario de atención del Chester Frost Park?
chancery_court,en,How do I contact Chancery Court?
chancery_court,en,What does the Chancery Court do?
chancery_court,en,Chancery Court hours
chancery_court,es,¿Cómo me comunico con Chancery Court?
chancery_court,es,¿Qué hace el Chancery Court?
chancery_court,es,¿Cuál es el horario de atención del Chancery Court?
chcrpa,en,How do I contact CHCRPA?
chcrpa,en,What does the CHCRPA do?
chcrpa,en,CHCRPA hours
chcrpa,es,¿Cómo me comunico con Chcrpa?
chcrpa,es,¿Qué hace el Chcrpa?
chcrpa,es,¿Cuál es el horario de atención del Chcrpa?
chief_of_staff,en,How do I contact Chief of Staff?
chief_of_staff,en,What does the Chief of Staff do?
chief_of_staff,en,Chief of Staff hours
chief_of_staff,es,¿Cómo me comunico con Chief Of Staff?
chief_of_staff,es,¿Qué hace el Chief Of Staff?
chief_of_staff,es,¿Cuál es el horario de atención del Chief Of Staff?
circuit_court_clerk,en,How do I contact Circuit Court Clerk?
circuit_court_clerk,en,What does the Circuit Court Clerk do?
circuit_court_clerk,en,Circuit Court Clerk hours
circuit_court_clerk,es,¿Cómo me comunico con Circuit Court Clerk?
circuit_court_clerk,es,¿Qué hace el Circuit Court Clerk?
circuit_court_clerk,es,¿Cuál es el horario de atención del Circuit Court Clerk?
circuit_court_judges,en,How do I contact Circuit Court Judges?
circuit_court_judges,en,What does the Circuit Court Judges do?
circuit_court_judges,en,Circuit Court Judges hours
circuit_court_judges,es,¿Cómo me comunico con Circuit Court Judges?
circuit_court_judges,es,¿Qué hace el Circuit Court Judges?
circuit_court_judges,es,¿Cuál es el horario de atención del Circuit Court Judges?
clerk_and_master,en,How do I contact Clerk And Master?
clerk_and_master,en,What does the Clerk And Master do?
clerk_and_master,en,Clerk And Master hours
clerk_and_master,es,¿Cómo me comunico con Clerk And Master?
clerk_and_master,es,¿Qué hace el Clerk And Master?
clerk_and_master,es,¿Cuál es el horario de atención del Clerk And Master?
community_and_economic_development_department,en,How do I contact Community and Economic Development Department?
community_and_economic_development_department,en,What does the Community and Economic Development Department do?
community_and_economic_development_department,en,Community and Economic Development Department hours
community_and_economic_development_department,es,¿Cómo me comunico con Community And Economic Development Department?
community_and_economic_development_department,es,¿Qué hace el Community And Economic Development Department?
community_and_economic_development_department,es,¿Cuál es el horario de atención del Community And Economic Development Department?
county_attorney,en,How do I contact County Attorney?
county_attorney,en,What does the County Attorney do?
county_attorney,en,County Attorney hours
county_attorney,es,¿Cómo me comunico con County Attorney?
county_attorney,es,¿Qué hace el County Attorney?
county_attorney,es,¿Cuál es el horario de atención del County Attorney?
county_auditor's_office,en,How do I contact County Auditor's Office?
county_auditor's_office,en,What does the County Auditor's Office do?
county_auditor's_office,en,County Auditor's Office hours
county_auditor's_office,es,¿Cómo me comunico con County Auditor'S Office?
county_auditor's_office,es,¿Qué hace el County Auditor'S Office?
county_auditor's_office,es,¿Cuál es el horario de atención del County Auditor'S Office?
county_clerk,en,How do I contact County Clerk?
county_clerk,en,What does the County Clerk do?
county_clerk,en,County Clerk hours
